Epoch No	LR            	Loss          	CNN PSNR  	CNN SSIM  
     286	1.00000000e-04	5.79292917e-04	35.84919311	0.97607582
     287	1.00000000e-04	5.79229584e-04	35.86809072	0.97602563
     288	1.00000000e-04	5.78687710e-04	35.85792974	0.97611713
     289	1.00000000e-04	5.79392292e-04	35.88082877	0.97617801
     290	1.00000000e-04	5.79261101e-04	35.84256021	0.97594177
     291	1.00000000e-04	5.79151879e-04	35.87128211	0.97611643
     292	1.00000000e-04	5.79279533e-04	35.88481064	0.97610668
     293	1.00000000e-04	5.78390357e-04	35.80575097	0.97588657
     294	1.00000000e-04	5.78367928e-04	35.89403592	0.97616448
     295	1.00000000e-04	5.78574196e-04	35.88661856	0.97612376
     296	1.00000000e-04	5.78719162e-04	35.88200493	0.97613994
     297	1.00000000e-04	5.78350215e-04	35.86624009	0.97615165
     298	1.00000000e-04	5.78135625e-04	35.86897322	0.97607179
     299	1.00000000e-04	5.77597531e-04	35.86539682	0.97602392
     300	1.00000000e-04	5.77774708e-04	35.83905238	0.97589255
     301	1.00000000e-04	5.78215418e-04	35.87066550	0.97605772
     302	1.00000000e-04	5.78039726e-04	35.86256891	0.97614222
     303	1.00000000e-04	5.78165621e-04	35.85233219	0.97597152
     304	1.00000000e-04	5.77970876e-04	35.86752038	0.97612058
     305	1.00000000e-04	5.77036416e-04	35.86876262	0.97607050
     306	1.00000000e-04	5.77657324e-04	35.89369975	0.97621219
     307	1.00000000e-04	5.77921871e-04	35.88053565	0.97611648
     308	1.00000000e-04	5.77281433e-04	35.88690268	0.97617467
     309	1.00000000e-04	5.76409547e-04	35.88385365	0.97610643
     310	1.00000000e-04	5.76847540e-04	35.87798472	0.97614374
     311	1.00000000e-04	5.77531015e-04	35.86461008	0.97609374
     312	1.00000000e-04	5.77207919e-04	35.89123769	0.97618235
     313	1.00000000e-04	5.77066521e-04	35.86037654	0.97606176
     314	1.00000000e-04	5.76747582e-04	35.76251351	0.97597732
     315	1.00000000e-04	5.77139523e-04	35.87127119	0.97608457
     316	1.00000000e-04	5.76761992e-04	35.89454564	0.97620350
     317	1.00000000e-04	5.76032473e-04	35.88783007	0.97619609
     318	1.00000000e-04	5.76489469e-04	35.88053717	0.97611484
     319	1.00000000e-04	5.76056834e-04	35.87427571	0.97614842
     320	1.00000000e-04	5.76647966e-04	35.87187987	0.97616290
     321	1.00000000e-04	5.76647723e-04	35.88975227	0.97616077
     322	1.00000000e-04	5.76182305e-04	35.89645220	0.97616613
     323	1.00000000e-04	5.76611712e-04	35.87725111	0.97616818
     324	1.00000000e-04	5.76107307e-04	35.83210255	0.97595567
     325	1.00000000e-04	5.76423484e-04	35.86317723	0.97608187
     326	1.00000000e-04	5.76494495e-04	35.89732024	0.97620017
     327	1.00000000e-04	5.75769340e-04	35.87220566	0.97603026
     328	1.00000000e-04	5.76009777e-04	35.87792511	0.97607235
     329	1.00000000e-04	5.75977894e-04	35.90177138	0.97610816
     330	1.00000000e-04	5.75402337e-04	35.86248847	0.97610181
     331	1.00000000e-04	5.76358759e-04	35.89456057	0.97622324
     332	1.00000000e-04	5.75465114e-04	35.89832393	0.97615584
     333	1.00000000e-04	5.75112688e-04	35.88146448	0.97617350
     334	1.00000000e-04	5.75709453e-04	35.89247561	0.97618551
     335	1.00000000e-04	5.75529077e-04	35.88511237	0.97604355
     336	1.00000000e-04	5.75065636e-04	35.86398682	0.97610492
     337	1.00000000e-04	5.74872111e-04	35.87387562	0.97602050
     338	1.00000000e-04	5.75140924e-04	35.88084942	0.97617195
     339	1.00000000e-04	5.75131173e-04	35.89577502	0.97620513
     340	1.00000000e-04	5.74667493e-04	35.87594407	0.97606111
     341	1.00000000e-04	5.75363187e-04	35.90114862	0.97619469
     342	1.00000000e-04	5.74340592e-04	35.87304497	0.97604385
     343	1.00000000e-04	5.74217771e-04	35.88731125	0.97619039
     344	1.00000000e-04	5.73938661e-04	35.88562913	0.97615028
     345	1.00000000e-04	5.74474651e-04	35.90560587	0.97618836
     346	1.00000000e-04	5.74018352e-04	35.85477881	0.97607478
     347	1.00000000e-04	5.74011331e-04	35.87996909	0.97617562
     348	1.00000000e-04	5.74615842e-04	35.87767274	0.97613522
     349	1.00000000e-04	5.73985962e-04	35.90860477	0.97624787
     350	1.00000000e-04	5.74163081e-04	35.88066162	0.97609462
     351	1.00000000e-04	5.74018905e-04	35.87416021	0.97613818
     352	1.00000000e-04	5.74692358e-04	35.88626141	0.97615073
     353	1.00000000e-04	5.74102153e-04	35.88309792	0.97618520
     354	1.00000000e-04	5.74268760e-04	35.88093229	0.97607537
     355	1.00000000e-04	5.73552503e-04	35.88284828	0.97614489
     356	1.00000000e-04	5.73713791e-04	35.88125744	0.97603004
     357	1.00000000e-04	5.73240717e-04	35.88499795	0.97609574
     358	1.00000000e-04	5.73891817e-04	35.83688032	0.97620103
     359	1.00000000e-04	5.72872814e-04	35.89623887	0.97618521
     360	1.00000000e-04	5.73983282e-04	35.87767969	0.97608198
     361	1.00000000e-04	5.73608233e-04	35.84716304	0.97592315
     362	1.00000000e-04	5.73041223e-04	35.90465428	0.97614240
     363	1.00000000e-04	5.73060537e-04	35.89679731	0.97614381
     364	1.00000000e-04	5.73063031e-04	35.83970115	0.97604038
     365	1.00000000e-04	5.73565371e-04	35.88454206	0.97613721
     366	1.00000000e-04	5.73072590e-04	35.88950424	0.97616120
     367	1.00000000e-04	5.72623238e-04	35.86042157	0.97606560
     368	1.00000000e-04	5.72904050e-04	35.89035423	0.97621845
     369	1.00000000e-04	5.73355009e-04	35.89816090	0.97620251
     370	1.00000000e-04	5.72888956e-04	35.88793457	0.97610981
     371	1.00000000e-04	5.72518030e-04	35.86472602	0.97618041
     372	1.00000000e-04	5.72058096e-04	35.88100823	0.97612310
     373	1.00000000e-04	5.72576529e-04	35.78982871	0.97615458
     374	1.00000000e-04	5.72321839e-04	35.87844303	0.97615339
     375	1.00000000e-04	5.72493387e-04	35.88141102	0.97619614
     376	1.00000000e-04	5.72366818e-04	35.89863283	0.97617496
     377	1.00000000e-04	5.72450960e-04	35.90553798	0.97621968
     378	1.00000000e-04	5.72945088e-04	35.88915544	0.97613548
     379	1.00000000e-04	5.72085808e-04	35.90823646	0.97622537
     380	1.00000000e-04	5.71941170e-04	35.88500082	0.97619182
     381	1.00000000e-04	5.71885695e-04	35.84760789	0.97615501
     382	1.00000000e-04	5.72572512e-04	35.89847916	0.97616742
     383	1.00000000e-04	5.71902385e-04	35.81627808	0.97607710
     384	1.00000000e-04	5.71648559e-04	35.86010364	0.97593012
     385	1.00000000e-04	5.72031503e-04	35.85425899	0.97607275
     386	1.00000000e-04	5.70878433e-04	35.85051080	0.97598591
     387	1.00000000e-04	5.72004093e-04	35.84246227	0.97604274
     388	1.00000000e-04	5.71463031e-04	35.89707313	0.97620105
     389	1.00000000e-04	5.71420659e-04	35.89519395	0.97617636
     390	1.00000000e-04	5.71273280e-04	35.90741055	0.97615013
     391	1.00000000e-04	5.71280433e-04	35.87536784	0.97620102
     392	1.00000000e-04	5.71096071e-04	35.88985553	0.97618754
     393	1.00000000e-04	5.71623651e-04	35.90978890	0.97628391
     394	1.00000000e-04	5.71253985e-04	35.90302007	0.97623217
     395	1.00000000e-04	5.70771482e-04	35.85521055	0.97600666
     396	1.00000000e-04	5.70689131e-04	35.89638345	0.97617568
     397	1.00000000e-04	5.71413171e-04	35.90148539	0.97619856
     398	1.00000000e-04	5.70946862e-04	35.92424978	0.97631342
     399	1.00000000e-04	5.71007316e-04	35.91275112	0.97626103
Best Epoch:398 with PSNR: 35.9242
